MOVIES,RATING,VOTES,RUN TIME
Blood Red Sky,6.1,"21,062",121
Masters of the Universe: Revelation,5,"17,870",25
The Walking Dead,8.2,"8,85,805",44
Rick and Morty,9.2,"4,14,849",23
Army of Thieves,,,
Outer Banks,7.6,"25,858",50
The Last Letter from Your Lover,6.8,"5,283",110
Dexter,8.6,"6,65,387",53
Never Have I Ever,7.9,"34,530",30
Virgin River,7.4,"27,279",44
Gunpowder Milkshake,6,"17,989",114
Lucifer,8.1,"2,64,222",42
Fear Street: 1994,6.2,"50,148",107
Sex/Life,5.4,"12,172",
American Horror Story,8,"2,86,488",60
Grey's Anatomy,7.5,"2,66,258",41
Breaking Bad,9.4,"15,52,311",49
The Good Doctor,8.1,"70,871",41
Atypical,8.3,"71,544",30
Stranger Things,8.7,"8,85,856",51
Fear Street: 1978,6.8,"36,634",109
Friends,8.9,"8,80,918",22
The Flash,7.6,"3,20,264",43
Peaky Blinders,8.8,"3,93,414",60
He-Man and the Masters of the Universe,,,
Chernobyl,5,"4,681",136
Vikings,8.5,"4,59,913",44
Better Call Saul,8.8,"3,47,857",46
Supernatural,8.4,"4,04,273",44
The Blacklist,8,"2,13,522",43
Fear Street: 1666,6.7,"27,447",114
Animal Kingdom,8.2,"26,926",60
Brooklyn Nine-Nine,8.4,"2,48,583",22
NCIS: Naval Criminal Investigative Service,7.7,"1,25,619",60
Kingdom,8.4,"34,906",45
Modern Family,8.4,"3,78,030",22
Titans,7.7,"73,656",45
The Witcher,8.2,"3,36,484",60
Downton Abbey,8.7,"1,71,804",58
Shingeki no kyojin,9,"2,42,582",24
Suits,8.4,"3,74,263",44
La casa de papel,8.3,"3,41,858",70
Schitt's Creek,8.5,"90,728",22
Outlander,8.4,"1,34,991",64
The Last Kingdom,8.4,"94,650",60
Black Mirror,8.8,"4,69,407",60
Ozark,8.4,"2,06,090",60
The Crown,8.6,"1,69,517",58
Sweet Tooth,7.9,"37,142",
Army of the Dead,5.8,"1,32,378",148
Fargo,8.9,"3,41,221",53
How I Met Your Mother,8.3,"6,24,036",22
Community,8.5,"2,31,013",22
Sons of Anarchy,8.5,"2,70,445",45
StartUp,7.9,"22,971",44
The Vampire Diaries,7.7,"2,93,434",43
365 dni,3.3,"63,620",114
How to Sell Drugs Online (Fast),7.9,"23,960",30
Good Girls,7.8,"38,618",43
13 Reasons Why,7.6,"2,66,386",60
The Queen's Gambit,8.6,"3,36,801",395
Legends of Tomorrow,6.8,"95,897",42
Star Trek: The Next Generation,8.6,"1,06,181",44
Le dernier mercenaire,5.4,"2,606",110
Resort to Love,5.7,"1,591",101
Evil,7.7,"15,048",42
The Expanse,8.5,"1,19,644",60
New Amsterdam,8.1,"27,709",43
Line of Duty,8.7,"46,751",60
The 100,7.6,"2,26,962",43
New Girl,7.7,"2,00,421",22
Prison Break,8.3,"4,92,438",44
Sex Education,8.3,"1,77,274",45
A Classic Horror Story,5.7,"8,822",95
Feels Like Ishq,6.6,848,32
Young Royals,8.6,"16,954",50
Shadow and Bone,7.7,"60,283",
The Hitman's Bodyguard,6.9,"2,05,979",118
Mad Men,8.6,"2,16,203",47
Élite,7.5,"59,730",60
Gilmore Girls,8.1,"1,06,650",44
Sky Rojo,6.5,"6,940",31
Lupin,7.5,"84,428",45
Trollhunters: Rise of the Titans,6.9,"2,353",104
Heartland,8.4,"11,764",45
Jurassic Park,8.1,"8,97,444",127
Family Guy,8.1,"3,12,584",22
Daredevil,8.6,"3,74,963",54
Dark,8.8,"3,12,629",60
Boku no hîrô akademia,8.4,"44,367",24
Cobra Kai,8.6,"1,22,268",30
 Kingdom,7.1,"6,388",92
Gotham,7.8,"2,16,458",42
Billions,8.4,"74,094",60
Agents of S.H.I.E.L.D.,7.5,"2,05,119",45
Don't Breathe,7.1,"2,37,601",88
The Ice Road,5.6,"20,561",109
Arrow,7.5,"4,14,712",42
Orange Is the New Black,8,"2,84,554",59
Gossip Girl,7.4,"1,59,666",42
Bridgerton,7.3,"83,944",60
The Kominsky Method,8.2,"33,440",30
Homeland,8.3,"3,22,307",55
Riverdale,6.8,"1,26,112",45
Sherlock,9.1,"8,39,029",88
La cocinera de Castamar,7.4,"1,336",
Queen of the South,8,"23,318",42
CSI: Crime Scene Investigation,7.6,"78,589",60
The Umbrella Academy,8,"1,75,513",60
Supergirl,6.2,"1,15,373",43
BoJack Horseman,8.7,"1,24,318",25
The Lord of the Rings: The Fellowship of the Ring,8.8,"17,13,028",178
I Think You Should Leave with Tim Robinson,7.8,"8,095",16
South Park,8.7,"3,40,148",22
Once Upon a Time,7.7,"2,12,616",60
Star Trek: Discovery,7.2,"1,01,079",60
Teen Wolf,7.6,"1,32,950",41
How to Get Away with Murder,8.1,"1,36,135",43
Star Trek: Deep Space Nine,8,"55,687",45
Seinfeld,8.8,"2,64,801",22
Spartacus: Blood and Sand,8.5,"2,28,484",55
Hawaii Five-0,7.3,"68,627",42
Good Witch,7.3,"8,268",48
The Sinner,7.9,"96,901",45
Arrested Development,8.7,"2,84,373",22
Escape Room,6.4,"99,351",99
You,7.7,"1,57,666",45
Mindhunter,8.6,"2,35,694",60
Jaws,8,"5,58,731",124
Avatar: The Last Airbender,9.3,"2,65,845",23
The Punisher,8.5,"1,94,777",53
Star Trek: Voyager,7.8,"61,917",44
The Departed,8.5,"12,27,522",151
Narcos,8.8,"3,75,261",49
The Serpent,7.6,"33,936",58
Star Wars: The Clone Wars,8.3,"71,904",23
"Murder, She Wrote",7,"20,330",50
Fatherhood,6.7,"26,508",109
Blue Bloods,7.6,"34,064",43
Heist,6.8,846,41
The Woman in the Window,5.7,"57,048",100
Black Summer,6.5,"25,453",40
Katla,7.1,"8,391",
Gone Girl,8.1,"8,95,888",149
Jumanji: Welcome to the Jungle,6.9,"3,37,900",119
American Psycho,7.6,"5,17,014",101
House of Cards,8.7,"4,76,656",51
Miraculous: Tales of Ladybug & Cat Noir,7.7,"8,300",20
Mayor Grom: Chumnoy Doktor,6.3,"8,466",136
Demon Slayer: Kimetsu No Yaiba,8.7,"46,259",25
Jane the Virgin,7.8,"41,758",60
The Good Wife,8.3,"70,021",43
The Good Place,8.2,"1,27,417",22
The Americans,8.4,"88,962",44
Glee,6.7,"1,39,934",44
Bo Burnham: Inside,8.7,"31,108",87
Kill Bill: Vol. 1,8.1,"10,34,554",111
Bartkowiak,5,398,91
Castlevania,8.3,"51,802",23
300,7.6,"7,51,815",117
Dawson's Creek,6.6,"38,117",60
It,7.3,"4,80,607",135
Pretty Little Liars,7.4,"1,55,875",44
Star Trek,8.3,"76,213",50
Archer,8.6,"1,41,784",22
Spider-Man: Far from Home,7.5,"3,63,012",129
Twin Peaks,8.8,"1,82,173",47
The Mitchells vs the Machines,7.7,"69,482",113
The Bold Type,7.9,"16,183",45
"Love, Death & Robots",8.5,"1,20,364",15
Hostage House,3.7,315,85
The Hobbit: An Unexpected Journey,7.8,"7,74,632",169
Clueless,6.8,"1,94,461",97
Ray Donovan,8.3,"79,618",60
Transformers: War for Cybertron,7.4,"2,923",30
Baywatch,5.5,"1,70,844",116
Trollhunters,8.4,"14,759",23
Snowpiercer,6.9,"39,433",60
Workin' Moms,7.7,"12,896",30
The Devil All the Time,7.1,"1,08,684",138
Broadchurch,8.4,"1,00,611",48
Fast & Furious 7,7.1,"3,71,194",137
L.A.'s Finest,6,"5,667",60
Good on Paper,5.6,"8,099",92
Iron Fist,6.5,"1,18,859",55
Too Hot to Handle,4.6,"10,008",40
Haseen Dillruba,6.9,"18,149",135
Hannibal,8.5,"2,36,161",44
Longmire,8.3,"30,685",60
