PassengerId,Survived
1,No
2,No
3,No
4,No
5,Yes
6,No
7,No
8,Yes
9,No
10,No
11,No
12,Yes
13,Yes
14,No
15,Yes
16,No
17,No
18,No
19,No
20,No
21,Yes
22,No
23,Yes
24,Yes
25,Yes
26,No
27,Yes
28,No
29,Yes
30,No
31,No
32,No
33,Yes
34,No
35,Yes
36,No
37,No
38,No
39,No
40,Yes
41,Yes
42,Yes
43,No
44,No
45,Yes
46,No
47,Yes
48,No
49,Yes
50,Yes
51,Yes
52,No
53,Yes
54,Yes
55,No
56,No
57,No
58,No
59,No
60,Yes
61,No
62,No
63,No
64,No
65,Yes
66,No
67,No
68,Yes
69,Yes
70,Yes
71,No
72,No
73,No
74,Yes
75,Yes
76,Yes
77,No
78,Yes
79,No
80,No
81,No
82,Yes
83,Yes
84,No
85,No
86,Yes
87,No
88,No
89,No
90,Yes
91,Yes
92,No
93,Yes
94,No
95,Yes
96,No
97,Yes
98,No
99,No
100,No
101,Yes
102,No
103,No
104,No
105,Yes
106,No
107,No
108,No
109,No
110,No
111,No
112,No
113,Yes
114,No
115,Yes
116,Yes
117,No
118,No
119,Yes
120,No
121,No
122,No
123,Yes
124,No
125,No
126,No
127,No
128,No
129,No
130,No
131,No
132,Yes
133,No
134,No
135,No
136,No
137,No
138,No
139,No
140,No
141,No
142,Yes
143,Yes
144,No
145,Yes
146,No
147,Yes
148,No
149,Yes
150,Yes
151,Yes
152,No
153,No
154,Yes
155,No
156,No
157,Yes
158,No
159,Yes
160,Yes
161,No
162,No
163,No
164,No
165,No
166,No
167,No
168,No
169,Yes
170,No
171,No
172,No
173,Yes
174,No
175,No
176,Yes
177,No
178,Yes
179,Yes
180,Yes
181,No
182,Yes
183,Yes
184,No
185,Yes
186,No
187,Yes
188,No
189,No
190,No
191,No
192,Yes
193,No
194,No
195,Yes
196,No
197,Yes
198,No
199,No
200,No
201,No
202,Yes
203,Yes
204,Yes
205,No
206,Yes
207,No
208,No
209,Yes
210,No
211,No
212,No
213,No
214,No
215,No
216,Yes
217,No
218,Yes
219,Yes
220,No
221,Yes
222,No
223,No
224,No
225,Yes
226,Yes
227,No
228,No
229,No
230,No
231,No
232,Yes
233,No
234,No
235,Yes
236,No
237,Yes
238,No
239,Yes
240,Yes
241,Yes
242,Yes
243,Yes
244,No
245,No
246,Yes
247,No
248,Yes
249,No
250,Yes
251,Yes
252,No
253,Yes
254,No
255,No
256,No
257,No
258,No
259,No
260,No
261,No
262,No
263,Yes
264,Yes
265,No
266,No
267,No
268,No
269,No
270,No
271,Yes
272,No
273,Yes
274,No
275,No
276,No
277,No
278,No
279,Yes
280,No
281,No
282,Yes
283,No
284,No
285,No
286,No
287,No
288,Yes
289,No
290,No
291,Yes
292,No
293,No
294,Yes
295,No
296,No
297,No
298,No
299,No
300,No
301,No
302,No
303,Yes
304,No
305,No
306,Yes
307,Yes
308,Yes
309,Yes
310,No
311,No
312,No
313,No
314,No
315,Yes
316,No
317,Yes
318,No
319,No
320,No
321,No
322,No
323,No
324,Yes
325,Yes
326,No
327,Yes
328,Yes
329,No
330,No
331,Yes
332,Yes
333,No
334,No
335,No
336,Yes
337,No
338,No
339,No
340,No
341,No
342,No
343,No
344,Yes
345,No
346,No
347,No
348,No
349,No
350,No
351,Yes
352,No
353,No
354,Yes
355,Yes
356,Yes
357,Yes
358,No
359,No
360,No
361,No
362,No
363,No
364,No
365,Yes
366,No
367,Yes
368,No
369,Yes
370,No
371,No
372,Yes
373,No
374,No
375,Yes
376,Yes
377,No
378,No
379,Yes
380,No
381,No
382,No
383,No
384,No
385,No
386,Yes
387,No
388,No
389,No
390,No
391,Yes
392,Yes
393,Yes
394,No
395,No
396,Yes
397,No
398,Yes
399,No
400,No
401,Yes
402,Yes
403,Yes
404,Yes
405,Yes
406,No
407,No
408,Yes
409,No
410,Yes
411,No
412,Yes
413,No
414,No
415,Yes
416,No
417,No
418,No
